Format,OpenLAP Export
Venue,FSAE Skidpad
Vehicle,FS EV
Driver,OpenLap
Device
Comment
Date,17/09/2025
Time,08:51:24
Frequency,50





distance,time,speed_max,elevation,speed,yaw_rate,long_acc,lat_acc,sum_acc,throttle,brake_pres,brake_force,steering,delta,beta,Fz_aero,Fx_aero,Fx_eng,Fx_roll,Fz_mass,Fz_total,wheel_torque,engine_torque,engine_power,engine_speed,engine_efficiency,gear
distance,time,speed_max,elevation,speed,yaw_rate,long_acc,lat_acc,sum_acc,throttle,brake_pres,brake_force,steering,delta,beta,Fz_aero,Fx_aero,Fx_eng,Fx_roll,Fz_mass,Fz_total,wheel_torque,engine_torque,engine_power,engine_speed,engine_efficiency,gear
m,s,m/s,m,m/s,rad/s,m/s/s,m/s/s,m/s/s,ratio,Pa,N,deg,deg,deg,N,N,N,N,N,N,N.m,N.m,W,rpm,,


-1.000000,0.000000,10.367368,0.000000,10.367368,1.136150,0.000000,11.778884,11.778884,0.025345,0.000000,0.000000,97.233536,9.723353,0.942311,-7.899950,-78.999504,116.764725,-37.765198,-3139.199951,-3147.099854,23.726593,6.447443,1315.807495,1948.839966,0.950000,1.000000
-0.792653,0.020000,10.367368,0.000000,10.367368,1.136150,0.000000,11.778884,11.778884,0.025345,0.000000,0.000000,97.233536,9.723353,0.942311,-7.899950,-78.999504,116.764709,-37.765198,-3139.199951,-3147.099854,23.726589,6.447443,1315.807495,1948.839966,0.950000,1.000000
-0.585305,0.040000,10.367368,0.000000,10.367368,1.136150,0.000000,11.778884,11.778884,0.025345,0.000000,0.000000,97.233536,9.723353,0.942311,-7.899950,-78.999504,116.764702,-37.765198,-3139.199951,-3147.099854,23.726589,6.447443,1315.807251,1948.839966,0.950000,1.000000
-0.377958,0.060000,10.367368,0.000000,10.367368,1.136150,0.000000,11.778884,11.778884,0.025345,0.000000,0.000000,97.233536,9.723353,0.942311,-7.899950,-78.999504,116.764725,-37.765198,-3139.199951,-3147.099854,23.726589,6.447443,1315.807373,1948.839966,0.950000,1.000000
-0.170611,0.080000,10.367368,0.000000,10.367368,1.136150,0.000000,11.778884,11.778884,0.025345,0.000000,0.000000,97.233536,9.723353,0.942311,-7.899950,-78.999504,116.764709,-37.765198,-3139.199951,-3147.099854,23.726589,6.447443,1315.807251,1948.839966,0.950000,1.000000
0.036737,0.100000,10.367368,0.000000,10.367368,1.136150,0.000000,11.778884,11.778884,0.025345,0.000000,0.000000,97.233536,9.723353,0.942311,-7.899950,-78.999504,116.764709,-37.765198,-3139.199951,-3147.099854,23.726589,6.447443,1315.807251,1948.839966,0.950000,1.000000
0.244084,0.120000,10.367368,0.000000,10.367368,1.136150,0.000000,11.778884,11.778884,0.025345,0.000000,0.000000,97.233536,9.723353,0.942311,-7.899950,-78.999504,116.764709,-37.765198,-3139.199951,-3147.099854,23.726587,6.447442,1315.807129,1948.839966,0.950000,1.000000
0.451432,0.140000,10.367368,0.000000,10.367368,1.136150,0.000000,11.778884,11.778884,0.025345,0.000000,0.000000,97.233536,9.723353,0.942311,-7.899950,-78.999504,116.764694,-37.765198,-3139.199951,-3147.099854,23.726587,6.447442,1315.807129,1948.839966,0.950000,1.000000
0.658779,0.160000,10.367368,0.000000,10.367368,1.136150,0.000000,11.778884,11.778884,0.025345,0.000000,0.000000,97.233536,9.723353,0.942311,-7.899950,-78.999504,116.764702,-37.765198,-3139.199951,-3147.099854,23.726585,6.447442,1315.807129,1948.839966,0.950000,1.000000
0.866126,0.180000,10.367368,0.000000,10.367368,1.136150,0.000000,11.778884,11.778884,0.025345,0.000000,0.000000,97.233536,9.723353,0.942311,-7.899950,-78.999504,116.764694,-37.765198,-3139.199951,-3147.099854,23.726587,6.447442,1315.807007,1948.839966,0.950000,1.000000
1.073474,0.200000,10.367368,0.000000,10.367368,1.136150,0.000000,11.778884,11.778884,0.025345,0.000000,0.000000,97.233536,9.723353,0.942311,-7.899950,-78.999504,116.764694,-37.765198,-3139.199951,-3147.099854,23.726585,6.447442,1315.807007,1948.839966,0.950000,1.000000
1.280821,0.220000,10.367368,0.000000,10.367368,1.136150,0.000000,11.778884,11.778884,0.025345,0.000000,0.000000,97.233536,9.723353,0.942311,-7.899950,-78.999504,116.764694,-37.765198,-3139.199951,-3147.099854,23.726585,6.447442,1315.807007,1948.839966,0.950000,1.000000
1.488168,0.240000,10.367368,0.000000,10.367368,1.136150,0.000000,11.778884,11.778884,0.025345,0.000000,0.000000,97.233536,9.723353,0.942311,-7.899950,-78.999504,116.764694,-37.765198,-3139.199951,-3147.099854,23.726585,6.447442,1315.807007,1948.839966,0.950000,1.000000
1.695516,0.260000,10.367368,0.000000,10.367368,1.136150,0.000000,11.778884,11.778884,0.025345,0.000000,0.000000,97.233536,9.723353,0.942311,-7.899950,-78.999504,116.764694,-37.765198,-3139.199951,-3147.099854,23.726585,6.447442,1315.807007,1948.839966,0.950000,1.000000
1.902863,0.280000,10.367368,0.000000,10.367368,1.136150,0.000000,11.778884,11.778884,0.025345,0.000000,0.000000,97.233536,9.723353,0.942311,-7.899950,-78.999504,116.764694,-37.765198,-3139.199951,-3147.099854,23.726585,6.447442,1315.807007,1948.839966,0.950000,1.000000
2.110210,0.300000,10.367368,0.000000,10.367368,1.136150,0.000000,11.778884,11.778884,0.025345,0.000000,0.000000,97.233536,9.723353,0.942311,-7.899950,-78.999504,116.764694,-37.765198,-3139.199951,-3147.099854,23.726585,6.447442,1315.807007,1948.839966,0.950000,1.000000
