Format,OpenLAP Export
Venue,Spa-Francorchamps
Vehicle,Formula 1 mod
Driver,OpenLap
Device
Comment
Date,13/09/2025
Time,16:12:16
Frequency,50





distance,time,speed_max,elevation,speed,yaw_rate,long_acc,lat_acc,sum_acc,throttle,brake_pres,brake_force,steering,delta,beta,Fz_aero,Fx_aero,Fx_eng,Fx_roll,Fz_mass,Fz_total,wheel_torque,engine_torque,engine_power,engine_speed,gear
3040.574219,49.299999,88.862190,440.577911,53.979866,0.060519,6.161495,3.266991,6.975574,1.000000,0.000000,0.000000,2.059721,0.205972,0.583975,-8566.658203,-2141.664551,5699.706055,-14.926411,-6359.751465,-14926.410156,1880.903076,298.026215,341249.000000,10934.207031,1.000000
3041.656250,49.320000,88.862190,440.499359,54.103233,0.066702,6.162024,3.608944,7.142175,1.000000,0.000000,0.000000,2.265669,0.226567,0.645099,-8605.858398,-2151.464600,5714.042969,-14.965910,-6360.051270,-14965.909180,1885.634277,298.775879,342889.375000,10959.195312,1.000000
3042.740723,49.340000,88.862190,440.420593,54.226593,0.072074,6.158996,3.908438,7.295127,1.000000,0.000000,0.000000,2.443314,0.244331,0.698633,-8645.146484,-2161.286621,5728.799316,-15.005688,-6360.541504,-15005.687500,1890.503784,299.547424,344558.687500,10984.183594,1.000000
3043.827637,49.360001,88.862190,440.341675,54.349911,0.076572,6.157960,4.161748,7.432736,1.000000,0.000000,0.000000,2.590693,0.259069,0.743912,-8684.508789,-2171.127197,5744.886230,-15.045534,-6361.025391,-15045.534180,1895.812500,300.388580,346311.843750,11009.163086,1.000000
3044.916992,49.380001,88.862190,440.267120,54.473186,0.080130,6.160861,4.364952,7.550539,1.000000,0.000000,0.000000,2.705749,0.270575,0.780235,-8723.948242,-2180.987061,5763.567383,-15.085451,-6361.503418,-15085.451172,1901.977295,301.365387,348225.531250,11034.134766,1.000000
3046.008789,49.400002,88.862190,440.193329,54.596550,0.082677,6.164446,4.513873,7.640386,1.000000,0.000000,0.000000,2.786289,0.278629,0.806855,-8763.503906,-2190.875977,5782.683594,-15.125474,-6361.970703,-15125.473633,1908.285400,302.364899,350171.968750,11059.122070,1.000000
3047.102783,49.419994,88.862190,440.119293,54.719959,0.084431,6.178550,4.620076,7.714916,1.000000,0.000000,0.000000,2.839826,0.283983,0.825839,-8803.168945,-2200.792236,5801.806641,-15.165139,-6361.970703,-15165.140625,1914.596069,303.364838,352124.562500,11084.121094,1.000000
3048.199707,49.439999,88.862190,440.045166,54.843678,0.085945,6.192654,4.713586,7.782501,1.000000,0.000000,0.000000,2.885103,0.288510,0.842554,-8843.023438,-2210.755859,5820.977539,-15.204994,-6361.970703,-15204.995117,1920.922729,304.367249,354087.000000,11109.181641,1.000000
3049.299072,49.459999,88.862190,439.970825,54.967682,0.087257,6.206756,4.796333,7.844048,1.000000,0.000000,0.000000,2.923394,0.292339,0.857345,-8883.058594,-2220.764648,5840.192871,-15.245029,-6361.970703,-15245.030273,1927.263672,305.371979,356058.875000,11134.299805,1.000000
3050.400879,49.480003,88.862190,439.896301,55.091972,0.088396,6.220855,4.869932,7.900360,1.000000,0.000000,0.000000,2.955768,0.295577,0.870500,-8923.277344,-2230.819336,5859.452148,-15.285248,-6361.970703,-15285.248047,1933.619385,306.379028,358040.656250,11159.474609,1.000000
